groupID	ISO3	climada worldmap country names	Region
	AFG	Afghanistan	Asia
	ALB	Albania	Europe
	DZA	Algeria	Africa
	ASM	American Samoa	Australia
	AND	Andorra	Europe
	AGO	Angola	Africa
7	AIA	Anguilla	North America
	ATG	Antigua and Barbuda	North America
	ARG	Argentina	South America
	ARM	Armenia	Asia
	ABW	Aruba	North America
8	AUS	Australia	Australia
	AUT	Austria	Europe
	AZE	Azerbaijan	Asia
	BHS	Bahamas	North America
	BHR	Bahrain	Asia
	BGD	Bangladesh	Asia
	BRB	Barbados	North America
	BLR	Belarus	Asia
	BEL	Belgium	Europe
	BLZ	Belize	North America
	BEN	Benin	Africa
	BMU	Bermuda	North America
	BTN	Bhutan	Asia
	BOL	Bolivia	South America
	BIH	Bosnia and Herzegovina	Europe
	BWA	Botswana	Africa
	BVT	Bouvet Island	Antarctica
	BRA	Brazil	South America
7	IOT	British Indian Ocean Territory	Europe
7	VGB	Virgin Islands (British)	North America
	BRN	Brunei	Asia
	BGR	Bulgaria	Europe
	BFA	Burkina Faso	Africa
	MMR	Myanmar (Burma)	Asia
	BDI	Burundi	Africa
	KHM	Cambodia	Asia
	CMR	Cameroon	Africa
	CAN	Canada	North America
	CPV	Cape Verde	Africa
	CYM	Cayman Islands	North America
	CAF	Central African Republic	Africa
	TCD	Chad	Africa
	CHL	Chile	South America
2	CHN	China	Asia
8	CXR	Christmas Island	Australia
8	CCK	Cocos (Keeling) Islands	Australia
	COL	Colombia	South America
	COM	Comoros	Africa
	COG	Congo	Africa
9	COK	Cook Islands	Australia
	CRI	Costa Rica	North America
	CIV	Ivory Coast	Africa
	HRV	Croatia	Europe
	CUB	Cuba	North America
	CYP	Cyprus	Europe
	CZE	Czech Republic	Europe
	DNK	Denmark	Europe
	DJI	Djibouti	Africa
	DMA	Dominica	North America
	DOM	Dominican Republic	North America
	ECU	Ecuador	South America
	EGY	Egypt	Africa
	SLV	El Salvador	North America
	GNQ	Equatorial Guinea	Australia
	ERI	Eritrea	Africa
	EST	Estonia	Europe
	ETH	Ethiopia	Africa
6	REU	Europa Islands	Europe
7	FLK	Falkland Islands (Malvinas)	Europe
	FRO	Faroe Islands	Europe
	FSM	Micronesia (Federated States of)	Australia
	FJI	Fiji	Australia
	FIN	Finland	Europe
6	FRA	France	Europe
6	GUF	French Guyana	South America
	PYF	French Polynesia	Australia
6	ATF	French Southern Territories	Australia
	GAB	Gabon	Africa
	GMB	Gambia	Africa
12	-	Gaza Strip	Asia
	GEO	Georgia	Asia
	DEU	Germany	Europe
	GHA	Ghana	Africa
	GRC	Greece	Europe
	GRL	Greenland	Europe
	GRD	Grenada	Europe
	GLP	Guadeloupe	North America
	GUM	Guam	Asia
	GTM	Guatemala	North America
	GIN	Guinea	Australia
	GNB	Guinea-Bissau	Australia
	GUY	Guyana	South America
	HTI	Haiti	North America
8	HMD	Heard Island and Mcdonald Islands	Antarctica
	HND	Honduras	North America
	HUN	Hungary	Europe
	ISL	Iceland	Europe
4	IND	India	Asia
	IDN	Indonesia	Asia
	IRN	Iran- Islamic Republic of	Asia
	IRQ	Iraq	Asia
	IRL	Ireland	Europe
12	ISR	Israel	Asia
	ITA	Italy	Europe
	JAM	Jamaica	North America
11	SJM	Jan Mayen	Europe
	JPN	Japan	Asia
10	UMI	Jarvis	North America
	JOR	Jordan	Asia
	KAZ	Kazakhstan	Asia
	KEN	Kenya	Africa
	KIR	Kiribati	Australia
	PRK	North Korea	Asia
	KOR	South Korea	Asia
	KWT	Kuwait	Asia
	KGZ	Kyrgyzstan	Asia
	LAO	Lao People's Democratic Republic	Asia
	LVA	Latvia	Europe
	LBN	Lebanon	Asia
	LSO	Lesotho	Africa
	LBR	Liberia	Africa
	LBY	Libyan Arab Jamahiriya	Africa
	LIE	Liechtenstein	Europe
	LTU	Lithuania	Europe
	LUX	Luxembourg	Europe
	MKD	Macedonia - the former Yugoslav Republic of	Europe
	MDG	Madagascar	Africa
	MWI	Malawi	Africa
	MYS	Malaysia	Asia
	MLI	Mali	Africa
	MLT	Malta	Europe
	MHL	Marshall Islands	Europe
6	MTQ	Martinique	Europe
	MRT	Mauritania	Africa
	MUS	Mauritius	Australia
	MYT	Mayotte	Africa
	MEX	Mexico	North America
	MDA	Moldova - Republic of	Asia
	MNG	Mongolia	Asia
7	MSR	Montserrat	Europe
3	MAR	Morocco	Africa
	MOZ	Mozambique	Africa
	NAM	Namibia	Africa
	NRU	Nauru	Australia
